Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
,VK3RGL 7 Gelong,439.5,434.5,Analog,High,None,91.5,0,0,0,1
,VK3RGS 7 Frstr,438.375,433.375,Analog,High,None,None,0,0,0,1
,VK3RGV 7 NEVic,439.775,434.775,Analog,High,None,123,0,0,0,1
,VK3RGW 7 WGelng,438.5,433.5,Analog,High,None,91.5,0,0,0,1
,VK3RHF 7 Olinda,438.75,433.75,Analog,High,None,88.5,0,0,0,1
,VK3RHO 2m MHthm,147.05,147.65,Analog,High,None,None,0,0,0,1
,VK3RHO 7 NE Vic,438.375,433.375,Analog,High,None,None,0,0,0,1
,VK3RIR 7 Bndigo,438.15,433.15,Analog,High,None,91.5,0,0,0,1
,VK3RLE Paps,438.125,433.125,Analog,High,None,None,0,0,0,1
,VK3RMA 2m Mldra,146.8,146.2,Analog,High,None,None,0,0,0,1
,VK3RMG 7 Yea,439.95,434.95,Analog,High,None,None,0,0,0,1
,VK3RML 2m EMelb,146.7,146.1,Analog,High,None,91.5,0,0,0,1
,VK3RMN 2m KngLk,146.85,146.25,Analog,High,None,91.5,0,0,0,1
,VK3RMS 7 Olinda,438.225,433.225,Analog,High,None,91.5,0,0,0,1
,VK3RNE 2m Wdnga,147,146.4,Analog,High,None,None,0,0,0,1
,VK3RNE 7 Wodnga,439.425,434.425,Analog,High,None,None,0,0,0,1
,VK3RNU 7 Wangrt,438.525,433.525,Analog,High,None,None,0,0,0,1
,VK3RPB 2m Brght,147.1,147.7,Analog,High,None,None,0,0,0,1
,VK3RPL 7 Prtlnd,439.95,434.95,Analog,High,None,91.5,0,0,0,1
,VK3RPT 7 Klmr,439.525,434.525,Analog,High,None,91.5,0,0,0,1
,VK3RRU 7 Mldura,438.525,433.525,Analog,High,None,None,0,0,0,1
,VK3RUG 7 Eildn,438.175,434.175,Analog,High,None,None,0,0,0,1
,VK3RVG 2m Shep,146.65,146.05,Analog,High,None,123,0,0,0,1
,VK3RWU 7 Grmpns,438.675,433.675,Analog,High,None,91.5,0,0,0,1
,VK3RYV 7 YraVly,439.3,434.3,Analog,High,None,None,0,0,0,1
,VK4RAR 2m Rkhmt,146.7,146.1,Analog,High,None,91.5,0,0,0,1
,VK4RAT 2m Tnsvl,146.7,146.1,Analog,High,None,None,0,0,0,1
,VK4RBM 2m Mcky,146.775,146.175,Analog,High,None,91.5,0,0,0,1
,VK4RBN 2m Brisb,147,145.4,Analog,High,None,91.5,0,0,0,1
,VK4RBQ 2m Brsbn,146.95,146.35,Analog,High,None,91.5,0,0,0,1
,VK4RCM 2m Gmpy,146.725,146.125,Analog,High,None,91.5,0,0,0,1
,VK4RET 2m DDwns,146.675,146.075,Analog,High,None,91.5,0,0,0,1
,VK4RGA 2m CntQl,146.9,146.3,Analog,High,None,91.5,0,0,0,1
,VK4RGC 2m GCst,146.7,146.1,Analog,High,None,123,0,0,0,1
,VK4RGT 2m Gldst,146.625,146.025,Analog,High,None,91.5,0,0,0,1
,VK4RHB 2m HrvBa,146.65,146.05,Analog,High,None,None,0,0,0,1
,VK4RLW 2m Logan,146.975,146.375,Analog,High,None,91.5,0,0,0,1
